className,category,severity,filename,startLine,endLine,lineRanges,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/SearchTermManager.java,1,0,"[{'startLine': 183, 'endLine': 183}]",1,1,SearchTermManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/StoreInfo.java,1,0,"[{'startLine': 324, 'endLine': 324}, {'startLine': 326, 'endLine': 326}, {'startLine': 800, 'endLine': 800}, {'startLine': 994, 'endLine': 994}]",4,4,StoreInfo.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/AttachmentBundle.java,1,0,"[{'startLine': 187, 'endLine': 187}, {'startLine': 205, 'endLine': 205}]",2,2,AttachmentBundle.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/NewMessageInfo.java,1,0,"[{'startLine': 132, 'endLine': 132}]",1,1,NewMessageInfo.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/MailQueue.java,1,0,"[{'startLine': 36, 'endLine': 41}, {'startLine': 43, 'endLine': 47}]",2,2,MailQueue.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/MessageCryptoInfo.java,1,0,"[{'startLine': 99, 'endLine': 99}, {'startLine': 124, 'endLine': 124}, {'startLine': 193, 'endLine': 194}]",3,3,MessageCryptoInfo.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/MessageInfo.java,1,0,"[{'startLine': 73, 'endLine': 73}, {'startLine': 80, 'endLine': 80}, {'startLine': 957, 'endLine': 957}, {'startLine': 996, 'endLine': 998}, {'startLine': 1024, 'endLine': 1024}]",5,5,MessageInfo.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/AlternativeAttachment.java,1,0,"[{'startLine': 59, 'endLine': 59}]",1,1,AlternativeAttachment.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/StartupManager.java,1,0,"[{'startLine': 216, 'endLine': 216}, {'startLine': 264, 'endLine': 264}, {'startLine': 444, 'endLine': 447}, {'startLine': 453, 'endLine': 468}]",4,4,StartupManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/PopInboxFolderInfo.java,1,0,"[{'startLine': 87, 'endLine': 87}, {'startLine': 89, 'endLine': 89}]",2,2,PopInboxFolderInfo.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,net/suberic/pooka/FolderInfo.java,1,0,"[{'startLine': 102, 'endLine': 102}, {'startLine': 523, 'endLine': 524}, {'startLine': 562, 'endLine': 562}, {'startLine': 2426, 'endLine': 2426}, {'startLine': 2434, 'endLine': 2434}]",5,5,FolderInfo.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,net/suberic/pooka/StoreInfo.java,1,0,"[{'startLine': 473, 'endLine': 473}, {'startLine': 479, 'endLine': 479}]",2,2,StoreInfo.java,False
