CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
195160,WMI: Inefficient Map Iterator,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/displaytag/src/main/java/org/displaytag/render/HtmlTableWriter.java,HtmlTableWriter.writeFormFields
195159,Eq: Problems with implementation of equals(),Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag/src/main/java/org/displaytag/model/Cell.java,Cell.compareTo
195158,CN: Bad implementation of cloneable idiom,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag/src/main/java/org/displaytag/model/Cell.java,
195157,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/displaytag-export-poi/src/main/java/org/displaytag/render/HssfTableWriter.java,HssfTableWriter.escapeColumnValue
195156,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/displaytag/src/main/java/org/displaytag/tags/SetPropertyTag.java,SetPropertyTag.doEndTag
195155,Se: Incorrect definition of Serializable class,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag-portlet/src/main/java/org/displaytag/portlet/PortletHref.java,
195154,Dm: Dubious method used,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/displaytag/src/main/java/org/displaytag/filter/ExportDelegate.java,ExportDelegate.writeExport
195153,Logically dead code,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/displaytag/src/main/java/org/displaytag/util/LookupUtil.java,LookupUtil.getProperty
195152,UuF: Unused field,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/displaytag/src/main/java/org/displaytag/decorator/CheckboxTableDecorator.java,
195151,Se: Incorrect definition of Serializable class,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag/src/main/java/org/displaytag/tags/TableTag.java,
195150,Dereference after null check,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/displaytag/src/main/java/org/displaytag/render/HtmlTableWriter.java,HtmlTableWriter.writeFormFields
195149,Se: Incorrect definition of Serializable class,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag/src/main/java/org/displaytag/tags/TableTag.java,
195148,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/displaytag/src/main/java/org/displaytag/tags/ColumnTag.java,ColumnTag.doEndTag
195147,Useless call,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/displaytag/src/main/java/org/displaytag/localization/I18nJstlAdapter.java,I18nJstlAdapter.I18nJstlAdapter
195146,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/displaytag-export-poi/src/main/java/org/displaytag/export/excel/ExcelHssfView.java,ExcelHssfView.escapeColumnValue
195145,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/displaytag-portlet/src/main/java/org/displaytag/portlet/PortletHref.java,PortletHref.addParameter
195144,HE: Equal objects must have equal hashcodes,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag/src/main/java/org/displaytag/util/PostHref.java,PostHref.equals
195143,NS: Suspicious use of non-short-circuit boolean operator,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/displaytag/src/main/java/org/displaytag/render/HtmlTableWriter.java,HtmlTableWriter.writeFormFields
195142,Dm: Dubious method used,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/displaytag/src/main/java/org/displaytag/filter/SimpleServletOutputStream.java,SimpleServletOutputStream.toString
195141,Eq: Problems with implementation of equals(),Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/displaytag-examples/src/main/java/org/displaytag/sample/ReportableListObject.java,ReportableListObject.compareTo
195140,Resource leak,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/displaytag/src/main/java/org/displaytag/properties/TableProperties.java,TableProperties.loadBuiltInProperties
195139,REC: RuntimeException capture,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/displaytag-export-poi/src/main/java/org/displaytag/export/excel/ExcelHssfView.java,ExcelHssfView.doExport
