CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
198845,Copy-paste error,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/src/org/acm/seguin/pmd/swingui/RulesTree.java,RulesTree$TreeNodeRenderer.getTreeCellRendererComponent
198844,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/org/acm/seguin/pmd/cpd/CPD.java,CPD.add
198843,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/acm/seguin/pmd/cpd/FileFinder.java,FileFinder.scanDirectory
198842,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/acm/seguin/ide/common/ClassListPanel.java,ClassListPanel.main
198841,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/acm/seguin/refactor/method/ExtractMethodRefactoring.java,ExtractMethodRefactoring.prescan
198840,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/acm/seguin/refactor/method/EMParameterFinder.java,EMParameterFinder.run
198839,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/org/acm/seguin/refactor/undo/UndoStack.java,UndoStack.load
198838,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/org/acm/seguin/tools/builder/Repackage.java,Repackage.load
198837,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/acm/seguin/ide/common/options/SelectedRules.java,SelectedRules.SelectedRules
198836,Resource leak,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/org/acm/seguin/uml/PackageLoader.java,PackageLoader.loadPositions
198835,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/org/acm/seguin/pmd/rules/MethodNamingConventionsRule.java,MethodNamingConventionsRule.visit
