CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
195733,Operands don't affect result,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/freemind/main/HtmlTools.java,HtmlTools.isXMLValidCharacter
195732,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/modes/mindmapmode/actions/ImportExplorerFavoritesAction.java,ImportExplorerFavoritesAction.importExplorerFavorites
195731,Resource leak on an exceptional path,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/accessories/plugins/ExportWithXSLT.java,ExportWithXSLT.copyMap
195730,Value not atomically updated,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/freemind/modes/LinkRegistryAdapter.java,LinkRegistryAdapter.deregisterLink
195729,Value not atomically updated,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/freemind/main/XMLElement.java,XMLElement.XMLElement
195728,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/main/Tools.java,Tools.getUpdateReader
195727,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/modes/mindmapmode/MindMapController.java,MindMapController.updateMenusFromXml
195726,Missing call to superclass,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/accessories/plugins/time/JSpinField.java,JSpinField.setForeground
195725,Information exposure to log file,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/freemind/main/Tools.java,Tools.getUpdateReader
195724,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/modes/mindmapmode/actions/ChangeArrowsInArrowLinkAction.java,ChangeArrowsInArrowLinkAction.act
195723,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/controller/FreeMindPopupMenu.java,FreeMindPopupMenu.firePopupMenuWillBecomeVisible
195722,Result is not floating-point,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/freemind/view/mindmapview/SharpBezierEdgeView.java,SharpBezierEdgeView.createStart
195721,Missing call to superclass,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/accessories/plugins/IconSelectionPlugin.java,IconSelectionPlugin.invoke
195720,Resource leak on an exceptional path,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/freemind/main/FreeMindStarter.java,FreeMindStarter.readUsersPreferences
195719,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/main/FreeMindSplashModern.java,FreeMindSplashModern$2.paint
195718,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/controller/NodeDragListener.java,NodeDragListener.dragGestureRecognized
195717,Value not atomically updated,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/freemind/modes/LinkRegistryAdapter.java,LinkRegistryAdapter.cutNode
195716,Resource leak on an exceptional path,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/freemind/modes/schememode/SchemeMapModel.java,SchemeMapModel.save
195715,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/controller/NodeDragListener.java,NodeDragListener.dragGestureRecognized
195714,Missing call to superclass,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/accessories/plugins/ChangeNodeLevelAction.java,ChangeNodeLevelAction.invoke
195713,Information exposure to log file,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/freemind/modes/browsemode/EncryptedBrowseNode.java,EncryptedBrowseNode.setFolded
195712,Resource leak,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/accessories/plugins/ImportMindmanagerFiles.java,ImportMindmanagerFiles.importMindmanagerFile
195711,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/view/mindmapview/NodeView.java,NodeView.treeNodesInserted
195710,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/view/mindmapview/EditNodeTextField.java,EditNodeTextField.show
195709,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/view/mindmapview/attributeview/AttributeViewScrollPane.java,AttributeViewScrollPane.isVisible
195708,Missing call to superclass,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/accessories/plugins/SortNodes.java,SortNodes.invoke
195707,Resource leak on an exceptional path,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/freemind/main/FreeMind.java,FreeMind.saveProperties
195706,Value not atomically updated,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/freemind/controller/MapModuleManager.java,MapModuleManager.previousMapModule
195705,Resource leak,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/freemind/modes/mindmapmode/actions/ImportExplorerFavoritesAction.java,ImportExplorerFavoritesAction.importExplorerFavorites
195704,Division or modulo by zero,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/freemind/modes/mindmapmode/MindMapHTMLWriter.java,MindMapHTMLWriter.fontStyle
195703,Information exposure to log file,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/freemind/main/Tools.java,Tools.getUpdateReader
195702,Value not atomically updated,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/freemind/modes/LinkRegistryAdapter.java,LinkRegistryAdapter.deregisterLinkTarget
195701,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/accessories/plugins/NodeNote.java,NodeNote.startupMapHook
195700,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/modes/mindmapmode/MindMapController.java,MindMapController.loadPatternActions
195699,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/freemind/main/Tools.java,Tools.getUpdateReader
