className,weight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,87848.0,server,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,33243.0,connector,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,22992.0,varia,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,17413.0,tomcat,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,15336.0,system,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,14995.0,cluster,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,14320.0,system-jmx,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,13149.0,iiop,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,10017.0,mbeans,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,9978.0,management,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,9614.0,console,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,7908.0,profileservice,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,6388.0,security,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,6321.0,jmx,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,6155.0,jmx-remoting,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,4856.0,ejb3,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,4501.0,j2se,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,4102.0,aspects,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,3862.0,messaging,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,3241.0,embedded,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,3202.0,deployment,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,3007.0,webservices,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,2329.0,spring-int,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,1206.0,main,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,1158.0,hibernate-int,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,988.0,adminclient,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,938.0,testsuite,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,548.0,jbossas,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringComponentCandidate,410.0,build,False
