,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,OPCPackage.addThumbnail,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
1,TestPackage.testCreatePackageWithCoreDocument,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
2,TestWrite.testWriteSimplePropertySet,Resource leak,High,CoverityScan,NaN,0.0,0.0
3,HWPFDocFixture.setUp,Ignoring number of bytes read,Medium,CoverityScan,NaN,0.0,0.0
4,SectionTable.CPtoFC,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
5,ExcelFileFormatDocFunctionExtractor$EFFDocHandler.endElement,ES: Checking String equality using == or !=,Low,CoverityScan,NaN,0.0,0.0
6,PlotGrowthRecord.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
7,OOXMLLite.copyFile,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
8,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
9,WordDocument.addBorder,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
10,CFRuleRecord.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
11,ExcelFileFormatDocFunctionExtractor.downloadSourceFile,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
12,HSSFCell.setCellValue,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
13,PropertyNode.equals,NP: Null pointer dereference,Low,CoverityScan,NaN,0.0,0.0
14,TestBlockListImpl.testFetchBlocks,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
15,TestDataValidation$WorkbookFormatter.createDVDescriptionRow,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
16,HDFDocument.HDFDocument,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
17,TableSprmCompressor.compressTableProperty,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
18,PaneRecord.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
19,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
20,ExcelFileFormatDocFunctionExtractor.main,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
21,TestDocumentProperty.verifyProperty,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
22,TestPicture.testMultiplePictures,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
23,AreaRecord.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
24,YearFracCalculator.shouldCountFeb29,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
25,BaseTestBugzillaIssues.baseTest15375,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
