,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,ApplicationImpl$SystemListenerEntry.publish,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
1,AjaxExceptionHandlerImpl.getRootCause,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
2,HtmlResponseStateManager.getViewState,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
3,ValidateRegexTag.release,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
4,TagLibraryConfig.loadImplicit,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
5,ResourceUtils.writeScriptInline,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
6,SetHandler.apply,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
7,UIComponentClassicTagBase.getParentUIComponentClassicTagBase,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
8,SAXCompiler.writeXmlDecl,Ignoring number of bytes read,Medium,CoverityScan,NaN,0.0,0.0
9,ClientBehaviorRedirectEventComponentWrapper.setValueExpression,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
10,FaceletViewDeclarationLanguage.buildView,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
11,CompositeComponentResourceTagHandler.createComponent,Wrong method called,Medium,CoverityScan,NaN,0.0,0.0
12,ServletExternalContextImpl.setSessionMaxInactiveInterval,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,EnumConverter.firstConstantOfEnum,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
14,ClassUtils.buildApplicationObject,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
15,ResourceHandlerImpl.createResource,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
16,BiLevelCacheMap.get,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
17,HtmlResponseWriterImpl.endElement,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
18,UIComponentClassicTagBase.popTag,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
19,CompilationManager.pushTag,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
20,FacesConfigurator.configureRuntimeConfig,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
21,ApplicationImpl.internalCreateConverter,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
22,UIComponent$EventListenerWrapper.restoreState,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
23,ComponentTagHandlerDelegate.apply,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
24,ExceptionHandlerImpl.handle,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
25,HtmlRendererUtils.renderDisplayValueOnlyForSelects,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
26,ScopedAttributeResolver.getFeatureDescriptors,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
27,DefaultServiceProviderFinder.getServiceProviderList,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
