,issueId,issueDescription
0,squid:S2589,Boolean expressions should not be gratuitous
1,squid:S00105,Tabulation characters should not be used
2,squid:S00121,Control structures should use curly braces
3,squid:S00122,Statements should be on separate lines
4,squid:S1132,Strings literals should be placed on the left side when checking for equality
5,squid:S1147,Exit methods should not be called
6,squid:S2221,"""Exception"" should not be caught when not required by called methods"
7,squid:S2232,"""ResultSet.isLast()"" should not be used"
8,squid:S2583,Conditionally executed blocks should be reachable
9,squid:S00112,Generic exceptions should never be thrown
10,squid:S1149,"Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used"
11,squid:S1264,"A ""while"" loop should be used instead of a ""for"" loop"
12,squid:S2112,"""URL.hashCode"" and ""URL.equals"" should be avoided"
13,squid:S2445,"Blocks should be synchronized on ""private final"" fields or parameters"
14,squid:S1118,Utility classes should not have public constructors
15,squid:S2699,Tests should include assertions
16,squid:UnusedPrivateMethod,"Unused ""private"" methods should be removed"
17,squid:UselessParenthesesCheck,Redundant pairs of parentheses should be removed
18,squid:S1244,Floating point numbers should not be tested for equality
19,squid:S2384,Mutable members should not be stored or returned directly
20,squid:S2692,"""indexOf"" checks should not be for positive numbers"
21,squid:S2694,"Inner classes which do not reference their owning classes should be ""static"""
22,squid:S3358,Ternary operators should not be nested
23,squid:S1068,"Unused ""private"" fields should be removed"
24,squid:S1172,Unused method parameters should be removed
25,squid:S1186,Methods should not be empty
26,squid:S2140,"Methods of ""Random"" that return floating point values should not be used in random integer generation"
27,squid:S2274,"""Object.wait(...)"" and ""Condition.await(...)"" should be called inside a ""while"" loop"
28,squid:S2275,Printf-style format strings should not lead to unexpected behavior at runtime
29,squid:S2276,"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held"
30,squid:S2278,Neither DES (Data Encryption Standard) nor DESede (3DES) should be used
31,squid:S1155,Collection.isEmpty() should be used to test for emptiness
32,squid:S1157,Case insensitive string comparisons should be made without intermediate upper or lower casing
33,squid:S1158,"Primitive wrappers should not be instantiated only for ""toString"" or ""compareTo"" calls"
34,squid:S1181,Throwable and Error should not be caught
35,squid:S2129,"Constructors should not be used to instantiate ""String"" and primitive-wrapper classes"
36,squid:S2273,"""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object"
37,squid:S2390,Classes should not access static members of their own subclasses during initialization
38,squid:S3346,"Expressions used in ""assert"" should not produce side effects"
39,squid:S3457,Printf-style format strings should be used correctly
40,squid:AssignmentInSubExpressionCheck,Assignments should not be made from within sub-expressions
41,squid:S1161,"""@Override"" should be used on overriding and implementing methods"
42,squid:S1163,Exceptions should not be thrown in finally blocks
43,squid:S1166,Exception handlers should preserve the original exceptions
44,squid:S2130,"Parsing should be used to convert ""Strings"" to primitives"
45,squid:S2131,"Primitives should not be boxed just for ""String"" conversion"
46,squid:S2133,"Objects should not be created only to ""getClass"""
47,squid:S2250,Collection methods with O(n) performance should be used carefully
48,squid:S2629,"""Preconditions"" and logging arguments should not require evaluation"
49,squid:S2864,"""entrySet()"" should be iterated when both the key and value are needed"
