className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/protocol/mail/org/apache/jmeter/protocol/smtp/sampler/SmtpSampler.java,104,299,159,28,SmtpSampler.sample(Entry),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/core/org/apache/jmeter/JMeter.java,503,671,151,30,JMeter.initializeProperties(CLArgsParser),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC3Impl.java,702,933,149,40,HTTPHC3Impl.sendPostData(PostMethod),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/protocol/http/org/apache/jmeter/protocol/http/sampler/WebServiceSampler.java,433,611,144,30,WebServiceSampler.sample(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/core/org/apache/jmeter/save/CSVSaveService.java,188,359,143,27,"CSVSaveService.makeResultFromDelimitedString(String[],SampleSaveConfiguration,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC4Impl.java,767,982,140,40,HTTPHC4Impl.sendPostData(HttpPost),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/monitor/model/org/apache/jmeter/monitor/parser/MonitorHandler.java,110,238,128,53,"MonitorHandler.startElement(String,String,String,Attributes)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/core/org/apache/jmeter/save/CSVSaveService.java,769,934,122,26,"CSVSaveService.resultToDelimitedString(SampleEvent,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/protocol/http/org/apache/jmeter/protocol/http/proxy/HttpRequestHdr.java,304,461,122,32,"HttpRequestHdr.populateSampler(Map,Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC3Impl.java,185,348,122,26,"HTTPHC3Impl.sample(URL,String,boolean,int)",False
